Product Name,Price,Star,Rating & Reviews
HP 14s Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-cf3074TU Thin and Light Laptop,"₹35,990",4.2,"1,116 Ratings&132 Reviews"
HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-EQ0024au Thin and Light Laptop,"₹44,118",4.5,"1,386 Ratings&305 Reviews"
HP 15s Ryzen 5 Quad Core 3450U - (8 GB/1 TB HDD/Windows 10 Home) 15s-GR0010AU Thin and Light Laptop,"₹39,990",4.2,19 Ratings&2 Reviews
HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) 15-db1069AU Laptop,"₹30,000",4.1,"1,854 Ratings&259 Reviews"
HP 15s Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) 15s-GR0007AU Thin and Light Laptop,"₹31,990",4.2,298 Ratings&51 Reviews
HP 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-ck2018TU Thin and Light Laptop,"₹47,490",4.2,620 Ratings&54 Reviews
HP Omen 15 Ryzen 7 Octa Core 4800H - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce RTX ...,"₹1,24,990",5,5 Ratings&3 Reviews
HP 14s Ryzen 5 Quad Core 3450U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fr0012AU Thin and Light Laptop,"₹45,990",4.4,62 Ratings&14 Reviews
HP 15s Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1034TU Thin and Light Laptop,"₹50,990",4.2,"1,354 Ratings&130 Reviews"
HP Pavilion x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1179TU 2 in 1 Laptop,"₹61,990",4.5,361 Ratings&32 Reviews
HP 15s Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 15s-fr1004tu Thin and Light Laptop,"₹44,990",4.4,"1,227 Ratings&172 Reviews"
HP Pavilion 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14-ce3065TU Thin and Ligh...,"₹58,390",4.5,144 Ratings&27 Reviews
HP Omen Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 16...,"₹85,990",4.8,136 Ratings&23 Reviews
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Gefor...,"₹54,990",4.2,"5,999 Ratings&854 Reviews"
HP 15s Core i5 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) 15s-du1065TU Thin and Light...,"₹49,490",4.3,436 Ratings&66 Reviews
HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,"₹51,990",4.4,493 Ratings&54 Reviews
HP Pavilion Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,"₹69,990",4.6,639 Ratings&107 Reviews
HP Pavilion x360 Core i7 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 14-dh0112T...,"₹76,990",4.7,301 Ratings&37 Reviews
HP 14s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-DR2006TU Thin and Light Laptop,"₹58,990",4.4,20 Ratings&4 Reviews
HP Pavilion x360 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dh1181TU 2 in 1 Laptop,"₹47,900",4.2,23 Ratings&3 Reviews
HP Pavilion x360 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1180TU 2 in 1 Laptop,"₹74,990",4.5,88 Ratings&15 Reviews
HP 14s Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-DR1008TU Thin and Light Laptop,"₹50,990",4.4,655 Ratings&92 Reviews
HP 14s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14S-ER0002TU Thin and Light Laptop  with inb...,"₹38,990",3.8,371 Ratings&77 Reviews
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gef...,"₹59,990",4.5,984 Ratings&123 Reviews
